Designator,Pin,PinName,Net,Category,Description
U5,1,,RGB_VCC_OUT,IC/模块,
U5,2,,$1I7827\DOUT,IC/模块,
U5,3,,GND,IC/模块,
U5,4,,$1I7827\DIN,IC/模块,
U6,1,,COL2,IC/模块,
U6,2,,$1I7827\K0,IC/模块,
U7,1,,RGB_VCC_OUT,IC/模块,
U7,2,,RGB_1,IC/模块,
U7,3,,GND,IC/模块,
U7,4,,$1I7827\DOUT,IC/模块,
U8,1,,COL3,IC/模块,
U8,2,,$1I7828\K0,IC/模块,
U9,1,,RGB_VCC_OUT,IC/模块,
U9,2,,$1I7829\DOUT,IC/模块,
U9,3,,GND,IC/模块,
U9,4,,RGB_1,IC/模块,
U10,1,,COL0,IC/模块,
U10,2,,$1I7829\K0,IC/模块,
U11,1,,RGB_VCC_OUT,IC/模块,
U11,2,,$1I7830\DOUT,IC/模块,
U11,3,,GND,IC/模块,
U11,4,,$1I7829\DOUT,IC/模块,
U12,1,,COL1,IC/模块,
U12,2,,$1I7830\K0,IC/模块,
U13,1,,RGB_VCC_OUT,IC/模块,
U13,2,,RGB_2,IC/模块,
U13,3,,GND,IC/模块,
U13,4,,$1I7830\DOUT,IC/模块,
U14,1,,COL2,IC/模块,
U14,2,,$1I7831\K0,IC/模块,
U15,1,,RGB_VCC_OUT,IC/模块,
U15,2,,$1I7832\DOUT,IC/模块,
U15,3,,GND,IC/模块,
U15,4,,RGB_2,IC/模块,
U16,1,,COL0,IC/模块,
U16,2,,$1I7832\K0,IC/模块,
U17,1,,RGB_VCC_OUT,IC/模块,
U17,2,,$1I7833\DOUT,IC/模块,
U17,3,,GND,IC/模块,
U17,4,,$1I7832\DOUT,IC/模块,
U18,1,,COL1,IC/模块,
U18,2,,$1I7833\K0,IC/模块,
U19,1,,RGB_VCC_OUT,IC/模块,
U19,2,,$1I7834\DOUT,IC/模块,
U19,3,,GND,IC/模块,
U19,4,,$1I7833\DOUT,IC/模块,
U20,1,,COL2,IC/模块,
U20,2,,$1I7834\K0,IC/模块,
U21,1,,RGB_VCC_OUT,IC/模块,
U21,2,,RGB_3,IC/模块,
U21,3,,GND,IC/模块,
U21,4,,$1I7834\DOUT,IC/模块,
U22,1,,COL3,IC/模块,
U22,2,,$1I7835\K0,IC/模块,
U23,1,,RGB_VCC_OUT,IC/模块,
